Screenshot Name,Mouse X1,Mouse Y1,Mouse X2,Mouse Y2,Probability,Status
input_harstem_1_frame_0001.jpg,793,821,800,847,0.696962296962738,Not Correct
input_harstem_1_frame_0002.jpg,1072,294,1081,324,0.8258963227272034,Correct
input_harstem_1_frame_0003.jpg,1081,322,1091,352,0.8732998967170715,Correct
input_harstem_1_frame_0004.jpg,1124,351,1134,381,0.8724200129508972,Correct
input_harstem_1_frame_0005.jpg,793,821,800,847,0.6969630122184753,Not Correct
input_harstem_1_frame_0006.jpg,793,821,800,847,0.6969630122184753,Not Correct
input_harstem_1_frame_0007.jpg,793,821,800,847,0.6968869566917419,Not Correct
input_harstem_1_frame_0008.jpg,588,821,595,847,0.6831879019737244,Not Correct
input_harstem_1_frame_0009.jpg,588,821,595,847,0.6829619407653809,Not Correct
input_harstem_1_frame_0010.jpg,588,821,595,847,0.6836027503013611,Not Correct
input_harstem_1_frame_0011.jpg,588,821,595,847,0.6836031079292297,Not Correct
input_harstem_1_frame_0012.jpg,588,821,595,847,0.6837205290794373,Not Correct
input_harstem_1_frame_0013.jpg,588,821,595,847,0.6838324069976807,Not Correct
input_harstem_1_frame_0014.jpg,588,821,595,847,0.6838324069976807,Not Correct
input_harstem_1_frame_0015.jpg,588,821,595,847,0.6849469542503357,Not Correct
input_harstem_1_frame_0016.jpg,588,821,595,847,0.6839412450790405,Not Correct
input_harstem_1_frame_0017.jpg,588,821,595,847,0.6839412450790405,Not Correct
input_harstem_1_frame_0018.jpg,588,821,595,847,0.6827000975608826,Not Correct
input_harstem_1_frame_0019.jpg,588,821,595,847,0.6827000975608826,Not Correct
input_harstem_1_frame_0020.jpg,588,821,595,847,0.6827000975608826,Not Correct
input_harstem_1_frame_0021.jpg,588,821,595,847,0.6827000975608826,Not Correct
input_harstem_1_frame_0022.jpg,588,821,595,847,0.6833158731460571,Not Correct
input_harstem_1_frame_0023.jpg,588,821,595,847,0.6833158731460571,Not Correct
input_harstem_1_frame_0024.jpg,588,821,595,847,0.6827630996704102,Not Correct
input_harstem_1_frame_0025.jpg,588,821,595,847,0.6827630996704102,Not Correct
input_harstem_1_frame_0026.jpg,588,821,595,847,0.6827630996704102,Not Correct
input_harstem_1_frame_0027.jpg,588,821,595,847,0.6827630996704102,Not Correct
input_harstem_1_frame_0028.jpg,588,821,595,847,0.6827630996704102,Not Correct
input_harstem_1_frame_0029.jpg,588,821,595,847,0.6827630996704102,Not Correct
input_harstem_1_frame_0030.jpg,588,821,595,847,0.6827626824378967,Not Correct
input_harstem_1_frame_0031.jpg,588,821,595,847,0.6834844350814819,Not Correct
input_harstem_1_frame_0032.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0033.jpg,1748,150,1770,169,0.7111920118331909,Not Correct
input_harstem_1_frame_0034.jpg,1748,150,1770,169,0.7111892700195312,Not Correct
input_harstem_1_frame_0035.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0036.jpg,1748,150,1770,169,0.7104194760322571,Not Correct
input_harstem_1_frame_0037.jpg,1748,150,1770,169,0.7104194760322571,Not Correct
input_harstem_1_frame_0038.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0039.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0040.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0041.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0042.jpg,1748,150,1770,169,0.7104194760322571,Not Correct
input_harstem_1_frame_0043.jpg,1748,150,1770,169,0.7104194760322571,Not Correct
